"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"CSCI","5105","Introduction to Distributed Systems","Twin Cities","Distributed system design and implementation. Distributed communication and synchronization, data replication and consistency, distributed file systems, fault tolerance, and distributed scheduling.

prereq: 4061 or 5103 or instr consent","3","3","No","1","3","OPT - Student Option","012984","Periodic Spring"
"CSCI","5106","Programming Languages","Twin Cities","Design and implementation of high-level languages. Course has two parts: (1) language design principles, concepts, constructs; (2) language paradigms, applications. Note: course does not teach how to program in specific languages.

prereq: 4011 or instr consent","3","3","No","1","3","OPT - Student Option","001186","Every Fall"
"CSCI","5115","User Interface Evaluation","Twin Cities","User interfaces to computer systems can have wide-ranging problems that make them error-prone, difficult to learn, difficult to use, and otherwise unsuitable for the purposes for which they are designed and deployed. This course introduces a variety of interface evaluation techniques, including non-user- and user-based methods, formative and summative evaluation methods, and both designed experiments and log- and data-analytic methods for evaluating interfaces and identifying problems and potential improvements. In this course, students will come to understand the different purposes of interface evaluation and the suitability of different techniques to different purposes and contexts. Students will practice several techniques and perform a variety of interface evaluations.

Students should have some familiarity with user interface design prior to taking this course. This can be completed through CSci 4115, UX 3131, or equivalent courses taken elsewhere. 

prereq: CSci 4115 or UX 3131 or Graduate Standing","3","3","No","1","3","OPT - Student Option","013952","Every Fall"
"CSCI","5117","Developing the Interactive Web","Twin Cities","Hands-on design experience using modern web development tools. Students work in teams to develop software programs using each of four toolkits. Analyze developments in forum posts and classroom discussions.

prereq: CSCI 4131 or Grad Standing","3","3","No","1","3","OPT - Student Option","012974","Spring Even Year"
"CSCI","5123","Recommender Systems","Twin Cities","An overview of recommender systems, including content-based and collaborative algorithms for recommendation, programming of recommender systems, and evaluation and metrics for recommender systems.

Graduate Status OR 
CSCI 2033 AND (CSCI 3081W OR CSCI 3061) OR
Instructor Permission","3","3","No","1","3","OPT - Student Option","012979","Fall Odd Year"
"CSCI","5125","Collaborative and Social Computing","Twin Cities","Introduction to computer-supported cooperative work, social computing. Technology, research methods, theory, case studies of group computing systems. Readings, hands-on experience.

prereq: CSci 5115 OR grad status OR instructor permission","3","3","No","1","3","OPT - Student Option","012976","Spring Even Year"
"CSCI","5127W","Embodied Computing: Design & Prototyping","Twin Cities","In this course, you will learn and apply the principles of embodied computing to human-centered challenges. Through a semester-long team project, you will learn and demonstrate mastery of human-centered embodied computing through two phases: (1) investigating human needs and current embodied practices and (2) rapidly prototyping and iterating embodied computing solutions. One of the ways you will demonstrate this mastery is through the collaborative creation of a written document and project capstone video describing your process and prototype.","3","3","No","1","3","OPT - Student Option","-","Fall Even Year"
"CSCI","5143","Real-Time and Embedded Systems","Twin Cities","Description: Introduction to embedded software design and implementation. Microcontroller programming in C, digital and analog I/O, hardware communication protocols. Embedded scheduling, timers, and interrupts. Real-time issues and system design. Low-power wireless networking.

prereq: CSCI 4061 or Instructor Consent.","3","3","No","1","3","A-F - A-F Grade Basis","013077","Periodic Spring"
"CSCI","5144","Cloud Computing","Twin Cities","Cloud computing serves many large-scale applications, ranging from search engines like Google to social networking websites like Facebook to online stores like Amazon. More recently, cloud computing has emerged as an essential technology to enable emerging fields such as Artificial Intelligence (AI), the Internet of Things (IoT), and Machine Learning. The exponential growth of data availability and demands for security and speed has made the cloud computing paradigm necessary for reliable, financially economical, and scalable computation. The dynamicity and flexibility of Cloud computing have opened up many new forms of deploying applications on infrastructures that cloud service providers offer, such as renting of computational resources and serverless computing.

This course will cover the fundamentals of cloud services management and cloud software development, including but not limited to design patterns, application programming interfaces, and underlying middleware technologies. More specifically, we will cover the topics of cloud computing service models, data center resource management, task scheduling, resource virtualization, SLAs, cloud security, software-defined networks and storage, cloud storage, and programming models. We will also discuss data center design and management strategies, which enable the economic and technological benefits of cloud computing. Lastly, we will study cloud storage concepts like data distribution, durability, consistency, and redundancy.

PreReq: CSCI 3061 OR CSCI 4061 OR Graduate Student Standing","3","3","No","1","3","OPT - Student Option","013751","Periodic Fall & Spring"
"CSCI","5161","Introduction to Compilers","Twin Cities","Techniques for translating modern programming languages to intermediate forms or machine-executable instructions/their organization into compiler. Lexical analysis, syntax analysis, semantic analysis, data flow analysis, code generation. Compiler project for prototypical language.

prereq: [2021, 5106] or instr consent","3","3","No","1","3","OPT - Student Option","001186","Every Spring"
"CSCI","5204","Advanced Computer Architecture","Twin Cities","Instruction set architecture, processor microarchitecture, memory, I/O systems. Interactions between computer software and hardware. Methodologies of computer design.

prereq: CSCI 4203 or EE 4363 or graduate standing","3","3","No","1","3","OPT - Student Option","012986","Every Fall"
"CSCI","5211","Data Communications and Computer Networks","Twin Cities","Concepts, principles, protocols, and applications of computer networks. Layered network architectures, data link protocols, local area networks, network layer/routing protocols, transport, congestion/flow control, emerging high-speed networks, network programming interfaces, networked applications. Case studies using Ethernet, Token Ring, FDDI, TCP/IP, ATM, Email, HTTP, and WWW.

prereq: grad student","3","3","No","1","3","OPT - Student Option","000017","Every Fall"
"CSCI","5221","Foundations of Advanced Networking","Twin Cities","Design principles, protocol mechanisms. Network algorithmics, implementation techniques. Advanced network architectures, state-of-art/emerging networking technologies/applications, network modeling. Simulation, experiments.

prereq: 4211 or 5211 or equiv; intro course in computer networks recommended","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"CSCI","5271","Introduction to Computer Security","Twin Cities","Concepts of computer, network, and information security.
Risk analysis, authentication, access control, security evaluation, audit trails, cryptography, network/database/application security, viruses, firewalls.

prereq: CSci 4061 or CSci 5103 or Grad Standing","3","3","No","1","3","OPT - Student Option","012971","Every Fall"
"CSCI","5302","Analysis of Numerical Algorithms","Twin Cities","Additional topics in numerical analysis. Interpolation, approximation, extrapolation, numerical integration/differentiation, numerical solutions of ordinary differential equations. Introduction to optimization techniques.

prereq: CSCI 2033 OR Math 2142 OR Math 2243 OR Math 2373 OR Math 4242 OR Grad Standing","3","3","No","1","3","OPT - Student Option","012973","Every Spring"
"CSCI","5304","Computational Aspects of Matrix Theory","Twin Cities"," Background in Linear Algebra: subspaces, ranks, vector, and matrix norms.  Perturbation theory for linear systems and eigenvalue problems. Solution methods of linear systems and least-squares problems. Matrix factorizations. Computation of eigenvalues/eigenvectors. Singular value decomposition. Matlab and/or Python/numpy for demonstrating algorithms. Introduction to sparse matrix methods.

prereq: csci2033 or math2142 or math2243 or math2373 or math4242 ","3","3","No","1","3","OPT - Student Option","012973","Every Fall"
"CSCI","5421","Advanced Algorithms and Data Structures","Twin Cities","Fundamental paradigms of algorithm and data structure design. Divide-and-conquer, dynamic programming, greedy method, graph algorithms, amortization, priority queues and variants, search structures, disjoint-set structures. Theoretical underpinnings. Examples from various problem domains.prereq: CSCI 4041 or Grad Standing","3","3","No","1","3","OPT - Student Option","012972","Every Fall & Spring"
"CSCI","5451","Introduction to Parallel Computing: Architectures, Algorithms, and Programming","Twin Cities","Parallel architectures design, embeddings, routing. Examples of parallel computers. Fundamental communication operations. Performance metrics. Parallel algorithms for sorting. Matrix problems, graph problems, dynamic load balancing, types of parallelisms. Parallel programming paradigms. Message passing programming in MPI. Shared-address space programming in openMP or threads.","3","3","No","1","3","OPT - Student Option","001186","Every Spring"
"CSCI","5461","Functional Genomics, Systems Biology, and Bioinformatics","Twin Cities","Computational methods for analyzing, integrating, and
deriving predictions from genomic/proteomic data. Analyzing gene expression, proteomic data, and protein-protein interaction networks. Protein/gene function prediction, integrating diverse data, visualizing genomic datasets.

prereq: (CSCI 3041, CSCI 4041, CSCI 3003, or CSCI 5465) or Grad Standing","3","3","No","1","3","OPT - Student Option","013011","Every Spring"
